date_utc_from_id,date_ist,source,grid_preview_reviewed,individual_post_opened_this_audit,all_gallery_attachments_inspected,curated_inventory_entry
2026-09-12T14:52:32+00:00,2026-09-12,https://x.com/k7agar/status/2098786847241695591,yes,yes,,yes
2026-09-12T14:38:47+00:00,2026-09-12,https://x.com/k7agar/status/2098783385355444667,yes,yes,,yes
2026-09-09T18:14:31+00:00,2026-09-09,https://x.com/k7agar/status/2097750512187933138,yes,yes,,yes
2026-09-09T16:52:25+00:00,2026-09-09,https://x.com/k7agar/status/2097729854661894189,yes,yes,,yes
2026-09-09T16:27:13+00:00,2026-09-09,https://x.com/k7agar/status/2097723509363605996,yes,yes,,yes
2026-09-04T17:43:27+00:00,2026-09-04,https://x.com/k7agar/status/2095930757466472778,yes,no,,yes
2026-08-16T16:57:58+00:00,2026-08-16,https://x.com/k7agar/status/2089033941604814993,yes,no,,no
2026-08-12T06:00:14+00:00,2026-08-12,https://x.com/k7agar/status/2087418865152409637,yes,no,,no
2026-08-07T04:13:44+00:00,2026-08-07,https://x.com/k7agar/status/2085580125148704777,yes,yes,,yes
2026-08-06T15:50:42+00:00,2026-08-06,https://x.com/k7agar/status/2085393134314532955,yes,no,,no
2026-08-01T11:01:59+00:00,2026-08-01,https://x.com/k7agar/status/2083508536789930468,yes,no,,no
2026-07-31T06:59:16+00:00,2026-07-31,https://x.com/k7agar/status/2083085069099671871,yes,no,,no
2026-07-28T17:17:05+00:00,2026-07-28,https://x.com/k7agar/status/2082153382287184319,yes,no,,no
2026-07-08T11:04:38+00:00,2026-07-08,https://x.com/k7agar/status/2074811895132082618,yes,no,,no
2026-06-20T12:54:52+00:00,2026-06-20,https://x.com/k7agar/status/2068316655789494727,yes,no,,no
2026-06-15T19:48:01+00:00,2026-06-16,https://x.com/k7agar/status/2066608688497152275,yes,no,,no
2026-05-08T00:46:04+00:00,2026-05-08,https://x.com/k7agar/status/2052550568355520542,yes,yes,,yes
2026-05-04T19:15:36+00:00,2026-05-05,https://x.com/k7agar/status/2051380237322309666,yes,no,,no
2026-05-03T17:32:14+00:00,2026-05-03,https://x.com/k7agar/status/2050991839080251747,yes,no,,yes
2026-05-02T16:49:36+00:00,2026-05-02,https://x.com/k7agar/status/2050618723149693051,yes,no,,no
2026-04-29T16:50:09+00:00,2026-04-29,https://x.com/k7agar/status/2049531696350171356,yes,no,,no
2026-04-23T08:04:44+00:00,2026-04-23,https://x.com/k7agar/status/2047225144314351912,yes,yes,,yes
2026-04-21T14:49:57+00:00,2026-04-21,https://x.com/k7agar/status/2046602345610723711,yes,no,,no
2026-04-18T07:40:43+00:00,2026-04-18,https://x.com/k7agar/status/2045407159304007921,yes,no,,no
2026-04-11T14:54:45+00:00,2026-04-11,https://x.com/k7agar/status/2042979671328068096,yes,yes,,yes
2026-04-11T14:51:10+00:00,2026-04-11,https://x.com/k7agar/status/2042978771872157918,yes,yes,,yes
2026-04-07T18:34:04+00:00,2026-04-08,https://x.com/k7agar/status/2041585312896577653,yes,no,,no
2026-04-07T14:13:45+00:00,2026-04-07,https://x.com/k7agar/status/2041519803001876503,yes,no,,no
2026-04-01T13:56:53+00:00,2026-04-01,https://x.com/k7agar/status/2039341230405079437,yes,no,,no
2026-03-30T11:36:48+00:00,2026-03-30,https://x.com/k7agar/status/2038581202135990305,yes,no,,no
2026-03-29T12:59:38+00:00,2026-03-29,https://x.com/k7agar/status/2038239660825313786,yes,yes,2,yes
2026-03-29T12:23:26+00:00,2026-03-29,https://x.com/k7agar/status/2038230552353112551,yes,no,,no
2026-03-26T16:29:53+00:00,2026-03-26,https://x.com/k7agar/status/2037205410508394872,yes,no,,no
2026-03-15T05:29:49+00:00,2026-03-15,https://x.com/k7agar/status/2033053032724967560,yes,no,,no
2026-03-10T13:31:39+00:00,2026-03-10,https://x.com/k7agar/status/2031362349731569912,yes,no,,no
2026-03-07T05:44:34+00:00,2026-03-07,https://x.com/k7agar/status/2030157638814814393,yes,no,,no
2026-03-06T13:52:43+00:00,2026-03-06,https://x.com/k7agar/status/2029918099605266480,yes,no,,no
2026-02-25T17:36:11+00:00,2026-02-25,https://x.com/k7agar/status/2026712845992472977,yes,yes,,yes
2026-02-24T12:43:08+00:00,2026-02-24,https://x.com/k7agar/status/2026276710954791119,yes,no,,no
2026-02-20T16:04:55+00:00,2026-02-20,https://x.com/k7agar/status/2024877936231534756,yes,no,,no
2026-02-19T16:20:46+00:00,2026-02-19,https://x.com/k7agar/status/2024519540663865345,yes,yes,,yes
2026-02-19T15:48:46+00:00,2026-02-19,https://x.com/k7agar/status/2024511486417383556,yes,no,,no
2026-02-18T07:25:08+00:00,2026-02-18,https://x.com/k7agar/status/2024022355253883242,yes,no,,no
2026-02-12T09:28:25+00:00,2026-02-12,https://x.com/k7agar/status/2021879050768445844,yes,no,,no
2026-02-09T16:55:26+00:00,2026-02-09,https://x.com/k7agar/status/2020904383937122503,yes,no,,no
2026-02-08T11:37:07+00:00,2026-02-08,https://x.com/k7agar/status/2020461889440866372,yes,no,,no
2026-02-07T10:13:05+00:00,2026-02-07,https://x.com/k7agar/status/2020078355559903633,yes,no,,no
2026-02-03T05:34:39+00:00,2026-02-03,https://x.com/k7agar/status/2018558733333532982,yes,yes,,yes
2026-02-01T12:08:32+00:00,2026-02-01,https://x.com/k7agar/status/2017933082393993701,yes,no,,no
2026-01-30T11:21:18+00:00,2026-01-30,https://x.com/k7agar/status/2017196420152058320,yes,no,,no
2026-01-30T07:41:46+00:00,2026-01-30,https://x.com/k7agar/status/2017141169944482209,yes,yes,,yes
2026-01-28T06:44:24+00:00,2026-01-28,https://x.com/k7agar/status/2016401958895284224,yes,no,,no
2026-01-28T04:21:43+00:00,2026-01-28,https://x.com/k7agar/status/2016366049206403389,yes,yes,,yes
2026-01-27T17:37:48+00:00,2026-01-27,https://x.com/k7agar/status/2016204003974271090,yes,yes,,yes
2026-01-24T15:28:21+00:00,2026-01-24,https://x.com/k7agar/status/2015084264833052690,yes,no,,no
2026-01-23T06:20:55+00:00,2026-01-23,https://x.com/k7agar/status/2014584110619230316,yes,no,,no
2026-01-22T15:35:10+00:00,2026-01-22,https://x.com/k7agar/status/2014361201929793654,yes,no,,no
2026-01-21T11:46:55+00:00,2026-01-21,https://x.com/k7agar/status/2013941375427825936,yes,no,,no
2026-01-20T06:13:56+00:00,2026-01-20,https://x.com/k7agar/status/2013495190204403849,yes,no,,no
2026-01-18T17:01:50+00:00,2026-01-18,https://x.com/k7agar/status/2012933463762972778,yes,no,,no
2026-01-17T18:19:54+00:00,2026-01-17,https://x.com/k7agar/status/2012590721472348311,yes,no,,no
2026-01-14T10:04:27+00:00,2026-01-14,https://x.com/k7agar/status/2011378873574011006,yes,no,,no
2026-01-13T08:05:46+00:00,2026-01-13,https://x.com/k7agar/status/2010986618463899691,yes,no,,no
2026-01-13T08:03:13+00:00,2026-01-13,https://x.com/k7agar/status/2010985976827662807,yes,no,,no
2026-01-09T10:08:52+00:00,2026-01-09,https://x.com/k7agar/status/2009568045912694800,yes,no,,no
2026-01-07T08:03:38+00:00,2026-01-07,https://x.com/k7agar/status/2008811752256139735,yes,no,,no
2026-01-05T12:44:13+00:00,2026-01-05,https://x.com/k7agar/status/2008157588735869290,yes,no,,no
2026-01-02T12:11:43+00:00,2026-01-02,https://x.com/k7agar/status/2007062246732841308,yes,no,,no
2026-01-02T12:10:28+00:00,2026-01-02,https://x.com/k7agar/status/2007061933200158852,yes,no,,no
2026-01-02T11:37:00+00:00,2026-01-02,https://x.com/k7agar/status/2007053509905309906,yes,no,,no
2026-01-01T15:35:37+00:00,2026-01-01,https://x.com/k7agar/status/2006751173001478326,yes,no,,no
2026-01-01T13:20:01+00:00,2026-01-01,https://x.com/k7agar/status/2006717046529339586,yes,no,,no
2025-12-29T16:00:17+00:00,2025-12-29,https://x.com/k7agar/status/2005670215896682792,yes,no,,no
2025-12-17T05:58:01+00:00,2025-12-17,https://x.com/k7agar/status/2001169994043023839,yes,no,,no
2025-12-16T16:00:17+00:00,2025-12-16,https://x.com/k7agar/status/2000959173463564309,yes,no,,no
2025-12-16T15:52:13+00:00,2025-12-16,https://x.com/k7agar/status/2000957144414494806,yes,no,,no
2025-12-14T16:50:39+00:00,2025-12-14,https://x.com/k7agar/status/2000247073560727796,yes,no,,no
2025-12-14T11:56:23+00:00,2025-12-14,https://x.com/k7agar/status/2000173019503996952,yes,yes,,yes
2025-12-10T19:21:23+00:00,2025-12-11,https://x.com/k7agar/status/1998835452535767360,yes,no,,no
